MemberID,Address,Street,City,State,Zip,PhoneNumber,ExpirationDate
57,484,Delladonna,Denver,CO,80249,3485384838,2018-10-29
58,101,Gina,Denver,CO,80241,3810820598,2018-05-02
59,222,Darwin,Minneapolis,MN,55458,3948666820,2018-09-29
60,113,Talmadge,Toledo,OH,43615,8135947650,2016-06-08
61,2,Chive,Raleigh,NC,27610,9368530104,2015-08-10
62,139,Ronald Regan,El Paso,TX,88589,5915739220,2018-10-15
63,241,Messerschmidt,Bradenton,FL,34205,7742318767,2016-08-13
64,37,Thompson,Boise,ID,83722,6830458025,2017-05-27
65,368,Schmedeman,Washington,DC,20456,6005796021,2018-08-18
66,61,Fair Oaks,Portland,OR,97240,5869516370,2017-12-14
67,410,Meadow Ridge,Buffalo,NY,14210,7622622519,2017-04-18
68,369,Westport,San Antonio,TX,78260,6633304346,2015-05-01
69,359,Pine View,Los Angeles,CA,90030,9364944543,2016-01-01
70,422,Merrick,Boston,MA,02283,7083080633,2017-10-14
71,210,Superior,Olympia,WA,98506,4433233686,2016-10-04
72,183,Fordem,Shreveport,LA,71166,2740308996,2014-02-23
73,158,Beilfuss,El Paso,TX,79994,9672621971,2018-04-18
74,33,Towne,New York City,NY,10292,6098908972,2014-07-04
75,69,Harbort,Spartanburg,SC,29319,4384331647,2018-05-19
76,80,Westend,Corona,CA,92878,8295521046,2018-04-03
77,214,Milwaukee,Charleston,WV,25321,2127482292,2018-04-11
78,134,Stone Corner,Houston,TX,77080,2836064246,2015-02-18
79,439,Laurel,Pittsburgh,PA,15250,4979761595,2018-01-20
80,198,Shelley,Mesa,AZ,85210,3452821318,2018-10-30
81,149,John Wall,Los Angeles,CA,90030,3767502921,2014-09-03
82,411,Valley Edge,Albany,NY,12227,4337159296,2015-09-25
83,426,Jenna,Peoria,IL,61656,8863423850,2017-06-03
84,309,Express,Muncie,IN,47306,5386656972,2018-09-22
85,291,Arapahoe,Abilene,TX,79605,2828457125,2016-09-24
86,448,Merry,North Hollywood,CA,91616,3148103175,2018-08-23
87,97,Melvin,Las Vegas,NV,89193,5900604737,2016-01-19
88,86,Bultman,Falls Church,VA,22047,3673612418,2016-05-28
89,474,Lakewood,Rochester,NY,14614,7143014373,2018-04-30
90,478,Trailsway,Chicago,IL,60669,9405788318,2014-01-05
91,413,Meadow Vale,Naples,FL,33963,1650442627,2017-06-29
92,193,Green,Anaheim,CA,92805,8229844768,2013-12-27
93,334,Declaration,Riverside,CA,92513,7344740528,2014-01-02
94,72,Rigney,Loretto,MN,55598,8265704780,2014-02-16
95,386,Little Fleur,New York City,NY,10150,2975175334,2014-01-07
96,318,Clove,Sacramento,CA,94286,9590422004,2016-09-17
97,219,Lindbergh,New York City,NY,10292,4008214147,2014-06-22
98,493,Nobel,Tacoma,WA,98405,3584620632,2014-10-30
99,282,Roxbury,New York City,NY,10009,4014449556,2017-01-20
100,157,Arapahoe,Zephyrhills,FL,33543,8861079549,2015-02-06
101,271,Summerview,Santa Cruz,CA,95064,6009120793,2016-05-14
102,455,Schiller,Yakima,WA,98907,9404280605,2013-12-03
103,104,Prentice,Montgomery,AL,36119,5624458090,2016-08-17
104,376,Holy Cross,Amarillo,TX,79188,1343739784,2014-10-10
105,475,Eagan,San Diego,CA,92137,6590993109,2015-02-26
106,256,Hudson,Des Moines,IA,50305,8761447290,2016-04-10
107,298,Donald,Miami,FL,33129,9889133001,2016-08-28
108,179,Cottonwood,Omaha,NE,68105,2850200679,2017-06-09
109,445,Elgar,Santa Cruz,CA,95064,9672329094,2015-10-15
110,106,Dawn,Atlanta,GA,30328,8614384826,2015-12-22
111,74,Paget,Arlington,TX,76096,7331305539,2018-10-27
112,398,Maple Wood,San Bernardino,CA,92415,9947726634,2016-10-29
113,184,Briar Crest,Tucson,AZ,85737,5424235402,2017-12-22
114,20,Heffernan,Washington,DC,20370,6294296132,2015-01-03
115,480,Oxford,Richmond,VA,23260,7500760400,2016-09-13
116,141,Green Ridge,Dallas,TX,75277,9087673293,2017-02-20
117,18,Spohn,Saint Joseph,MO,64504,6081253844,2015-04-30
118,268,Harbort,Cleveland,OH,44191,5590196452,2015-12-31
119,331,Southridge,Indianapolis,IN,46278,9833602216,2017-08-03
120,16,Little Fleur,San Bernardino,CA,92405,8063689269,2018-02-25
121,454,Randy,Orlando,FL,32868,2289147477,2014-04-03
122,445,Maryland,Springfield,MA,01114,5986617943,2015-10-13
123,192,Stoughton,San Francisco,CA,94105,6838014129,2014-03-01
124,465,Karstens,Denver,CO,80217,2351068252,2015-01-21
125,260,Morrow,Indianapolis,IN,46266,2146708500,2018-06-14
126,103,Dayton,Memphis,TN,38131,7555999712,2015-04-21
127,351,Melby,Beaumont,TX,77713,6541782710,2015-12-20
128,88,Manitowish,Dallas,TX,75265,5786526822,2018-06-05
129,156,Grim,Philadelphia,PA,19184,6974912936,2014-09-15
130,270,Debra,Washington,DC,20046,8148831989,2015-05-14
131,372,Fieldstone,San Bernardino,CA,92405,2842730250,2018-02-24
132,456,Petterle,Salt Lake City,UT,84105,6172290276,2014-04-20
133,366,Vahlen,Washington,DC,20029,3602698778,2017-05-08
134,396,Kedzie,Orlando,FL,32803,6984926663,2017-03-08
135,158,Superior,Omaha,NE,68110,9243487259,2017-10-31
136,422,Atwood,El Paso,TX,88584,1875346821,2014-06-28
137,453,Anniversary,Torrance,CA,90505,3405278826,2015-02-18
138,15,Claremont,Warren,OH,44485,1677677212,2014-09-23
139,286,Bonner,San Jose,CA,95150,2902602312,2017-10-15
140,426,Stang,Austin,TX,78732,7667652695,2017-07-04
141,142,Magdeline,Long Beach,CA,90810,1889532200,2015-12-16
142,217,Express,San Jose,CA,95108,4146404612,2016-12-09
143,10,Daystar,Inglewood,CA,90398,3805397557,2015-05-15
144,273,Park Meadow,Columbus,GA,31914,5817316731,2017-08-13
145,102,Scoville,Fullerton,CA,92835,5422895865,2018-08-16
146,396,Commercial,San Jose,CA,95108,1480780442,2017-06-14
147,405,Blaine,Lincoln,NE,68505,1183918490,2013-12-29
148,335,Oneill,Carol Stream,IL,60158,4615716775,2016-10-11
149,399,Del Sol,Atlanta,GA,31119,9211252160,2018-07-30
150,106,Hoepker,Bridgeport,CT,06606,6867281179,2016-06-26
151,138,Superior,Athens,GA,30605,7867385186,2013-12-12
152,89,Gateway,Rochester,NY,14609,2413344243,2017-02-08
153,177,Esch,Elizabeth,NJ,07208,9341535553,2015-04-27
154,468,Oriole,Richmond,VA,23272,2641190956,2015-09-08
155,71,Kensington,Buffalo,NY,14205,9839331413,2015-01-30
156,263,Rutledge,Tulsa,OK,74133,7296559144,2016-07-30
157,361,Porter,New Orleans,LA,70154,9851725052,2018-09-02
158,178,Anhalt,Fort Worth,TX,76115,6627903171,2017-08-12
159,145,Ilene,Port Charlotte,FL,33954,6395816648,2016-04-23
160,479,Thierer,Miami Beach,FL,33141,6792693049,2015-02-06
161,438,Wayridge,Atlanta,GA,30328,3311917088,2016-07-10
162,281,Messerschmidt,Gastonia,NC,28055,7151718505,2017-06-19
163,98,Graedel,Kansas City,KS,66112,4964075558,2014-07-13
164,22,Springview,Baltimore,MD,21229,2218431299,2018-01-17
165,297,Vera,Philadelphia,PA,19196,5586616986,2018-02-22
166,126,Lakewood,Brooklyn,NY,11247,6938513821,2018-09-21
167,153,Kennedy,Bronx,NY,10464,1960555179,2014-03-10
168,293,American Ash,Carson City,NV,89706,8799101153,2018-03-26
169,165,Hermina,Port Charlotte,FL,33954,2133626938,2017-08-19
170,471,Eggendart,Dallas,TX,75231,9803619171,2014-10-19
171,123,Bellgrove,Abilene,TX,79699,5421214764,2017-02-09
172,369,Chinook,Clearwater,FL,33763,1923424364,2017-01-05
173,46,Pankratz,Cleveland,OH,44111,7894664109,2016-10-24
174,212,Summerview,Washington,DC,20575,7396364199,2016-08-14
175,396,Algoma,Augusta,GA,30919,6350206606,2016-09-18
176,455,Jackson,San Jose,CA,95173,4033187316,2016-03-24
177,259,Trailsway,Dallas,TX,75372,4783830727,2014-12-18
178,195,Becker,Palmdale,CA,93591,4958722059,2015-01-10
179,405,Sage,Denver,CO,80209,1830579352,2017-01-01
180,147,Hazelcrest,Providence,RI,02905,6652691687,2018-06-05
181,215,Helena,Waterbury,CT,06721,2020533654,2017-04-01
182,345,Logan,Portland,OR,97216,7219477067,2017-10-04
183,181,Farmco,Brooklyn,NY,11241,4096803238,2018-04-18
184,64,Tony,Salt Lake City,UT,84110,3175495093,2017-01-15
185,231,Hoard,Bronx,NY,10469,5714690107,2014-03-19
186,235,Mcbride,Pasadena,CA,91117,1936526279,2015-03-25
187,194,Westridge,Greenville,SC,29605,1607233817,2016-05-28
188,164,Mayer,Columbus,OH,43284,5577401186,2018-01-02
189,328,Buena Vista,Omaha,NE,68110,9825011239,2018-06-28
190,45,Brown,Lawrenceville,GA,30245,5008580461,2015-04-25
191,276,Center,Saint Louis,MO,63104,6052658595,2015-05-22
192,353,Towne,Indianapolis,IN,46231,6878811503,2014-07-04
193,257,Kipling,Idaho Falls,ID,83405,7565456989,2018-10-25
194,144,Dakota,Lincoln,NE,68510,1699061767,2016-09-07
195,254,Eggendart,Tucson,AZ,85743,1544801071,2014-08-30
196,230,Golf,Chattanooga,TN,37405,9225440307,2014-08-23
197,22,Sundown,Las Vegas,NV,89150,7727994317,2015-04-10
198,287,Randy,Roanoke,VA,24009,4488824924,2017-01-12
199,456,Debra,Muncie,IN,47306,8805092302,2017-06-19
200,9,Loeprich,New Haven,CT,06538,1670845149,2016-05-25
201,126,Holy Cross,Carol Stream,IL,60351,8290709054,2015-08-09
202,168,Red Cloud,Kansas City,MO,64125,4996194947,2015-08-13
203,290,Westend,Scottsdale,AZ,85271,2442878115,2018-07-21
204,94,Beilfuss,Shreveport,LA,71166,9392147966,2015-01-08
205,197,Waywood,Riverside,CA,92513,4099041041,2018-05-01
206,115,Ridge Oak,New Haven,CT,06510,8688077805,2017-02-14
207,220,Hallows,Lincoln,NE,68524,3718276732,2016-09-17
208,484,Northview,Norfolk,VA,23504,8219530001,2018-03-01
209,216,Canary,Los Angeles,CA,90010,7778072493,2015-07-18
210,198,Waywood,Duluth,GA,30096,4114643347,2016-08-17
211,177,Oak,North Little Rock,AR,72118,6615795861,2017-08-11
212,299,Crowley,Houston,TX,77271,5480182572,2015-06-25
213,35,Packers,Glendale,AZ,85311,6757975951,2015-10-03
214,303,Reinke,Lancaster,PA,17605,2835498817,2015-01-19
215,486,Forest Run,Savannah,GA,31422,8410547218,2014-08-01
216,244,Birchwood,Winston Salem,NC,27157,9937006706,2015-12-01
217,228,Michigan,Charleston,SC,29416,6728778398,2014-02-13
218,288,Dryden,Fresno,CA,93750,2767413815,2018-03-30
219,454,Dixon,Green Bay,WI,54313,1465768664,2016-09-06
220,224,Surrey,Spring Hill,FL,34611,9263459303,2017-05-11
221,236,Gina,San Francisco,CA,94142,2703762549,2015-10-05
222,445,Katie,Long Beach,CA,90810,6301113448,2016-03-09
223,486,Helena,Fort Lauderdale,FL,33305,8254304073,2015-06-03
224,46,Eagan,Charleston,WV,25321,2673265175,2016-05-10
225,225,Victoria,San Francisco,CA,94105,4956415869,2015-02-03
226,334,Victoria,Amarillo,TX,79118,3313530315,2015-05-18
227,54,Park Meadow,Richmond,VA,23285,4545773956,2016-09-21
228,118,Elgar,San Francisco,CA,94105,5142326993,2017-01-17
229,199,Hooker,Tyler,TX,75710,9779787848,2013-12-30
230,483,Corry,Saint Paul,MN,55114,1116734653,2016-08-27
231,398,Oak Valley,Peoria,IL,61635,7525938543,2018-01-15
232,296,John Wall,Abilene,TX,79605,8410195359,2016-04-27
233,60,Badeau,Amarillo,TX,79118,9130861825,2015-08-01
234,17,Redwing,Washington,DC,20530,1001933666,2014-05-02
235,344,Portage,Chattanooga,TN,37450,6801431262,2016-04-22
236,182,Arizona,Berkeley,CA,94705,7253865123,2015-10-16
237,14,Anniversary,Worcester,MA,01605,4804994822,2018-09-05
238,234,Moose,Laurel,MD,20709,4095469035,2016-02-10
239,223,Ramsey,Fort Lauderdale,FL,33336,2889712430,2017-04-17
240,326,Hovde,Philadelphia,PA,19120,7133589366,2016-06-04
241,120,Pine View,Phoenix,AZ,85030,6600124950,2018-11-10
242,264,Caliangt,Evansville,IN,47719,1934484740,2016-01-01
243,119,Grayhawk,Atlanta,GA,30343,5921691666,2017-01-14
244,36,Tennyson,Louisville,KY,40220,1482026325,2016-08-10
245,375,Hermina,Dallas,TX,75358,8449205781,2017-06-14
246,29,Mosinee,Evansville,IN,47705,9937241563,2014-08-03
247,128,Dovetail,Erie,PA,16565,4036593036,2014-03-23
248,262,Schlimgen,Washington,DC,56944,7509053712,2016-11-24
249,33,Montana,New York City,NY,10175,6743192257,2017-05-22
250,235,Dayton,Bakersfield,CA,93399,6638232522,2017-02-06
251,217,Debra,Olympia,WA,98516,2116980350,2015-02-13
252,314,Shelley,Amarillo,TX,79188,4879301510,2017-12-19
253,180,Grim,Tulsa,OK,74103,9130631144,2014-06-22
254,110,Northfield,San Antonio,TX,78210,9062741773,2014-01-19
255,345,Glendale,Lima,OH,45807,7810868905,2014-10-02
256,395,Crescent Oaks,Saint Louis,MO,63126,7979497214,2015-09-10
257,95,Bay,Newark,NJ,07104,3446921852,2018-05-18
258,360,Forest Run,Saint Louis,MO,63169,8607186258,2018-06-16
259,208,Reindahl,Fort Worth,TX,76178,3369262857,2016-01-18
260,424,Arrowood,San Angelo,TX,76905,4828652174,2016-02-25
261,361,Ryan,Lafayette,IN,47905,8163534295,2015-06-15
262,411,Briar Crest,Saint Louis,MO,63143,5135229574,2016-02-03
263,378,Lunder,Miami,FL,33158,6916411612,2016-05-23
264,247,Maryland,Clearwater,FL,34615,7617150977,2016-05-06
265,396,Jackson,Denton,TX,76205,1187044446,2017-12-02
266,245,Westend,Philadelphia,PA,19151,2044161628,2017-04-18
267,492,Northport,Dallas,TX,75397,6990117401,2017-11-23
268,254,Pleasure,Chicago,IL,60604,2225102108,2016-05-12
269,141,Prairie Rose,New Orleans,LA,70187,3006941923,2015-06-28
270,48,Fair Oaks,Austin,TX,78749,4877806139,2016-03-01
271,97,Carey,Nashville,TN,37220,1672975085,2016-05-01
272,245,Rowland,Mobile,AL,36670,7485701190,2015-11-25
273,3,Pennsylvania,Aurora,CO,80015,8898750113,2017-03-11
274,332,Doe Crossing,Johnson City,TN,37605,9366567348,2016-07-02
275,86,Tennyson,Miami,FL,33245,7720287909,2014-01-12
276,368,International,Sacramento,CA,95828,6289035372,2015-06-06
277,261,Tomscot,Lawrenceville,GA,30045,1398348822,2018-05-31
278,435,Northport,Philadelphia,PA,19104,7348429463,2015-01-03
279,40,Hanover,Bozeman,MT,59771,2576808352,2018-07-04
280,287,Chinook,Roanoke,VA,24024,1434659339,2018-08-20
281,197,Acker,Kansas City,MO,64193,4668506855,2016-08-28
282,197,Buell,Washington,DC,20220,3002918524,2017-09-23
283,434,Brentwood,Canton,OH,44705,6865376363,2017-06-13
284,140,Beilfuss,Sacramento,CA,94297,1383428948,2015-09-04
285,325,Melrose,Chicago,IL,60669,4625889673,2016-08-27
286,89,Birchwood,Sacramento,CA,95894,4650557509,2016-10-26
287,346,Crest Line,Canton,OH,44720,7055411322,2016-12-16
288,473,Lakewood Gardens,Columbia,SC,29225,3259273717,2018-10-05
289,413,Dennis,Lexington,KY,40524,6756834667,2017-01-29
290,452,Westport,Biloxi,MS,39534,2591896949,2016-05-31
291,195,Prentice,Fort Lauderdale,FL,33320,3857887053,2015-04-05
292,301,Nancy,Memphis,TN,38150,8750436861,2014-06-24
293,177,North,El Paso,TX,88546,7189522055,2014-03-03
294,161,Hoard,Tulsa,OK,74108,4313147591,2017-05-14
295,201,Goodland,Saint Petersburg,FL,33710,6819574954,2017-03-22
296,305,Express,Dallas,TX,75221,9884367134,2016-11-01
297,169,3rd,Orange,CA,92668,2627368983,2015-09-01
298,303,Morrow,Dallas,TX,75397,1914009676,2016-03-18
299,120,Holmberg,Lubbock,TX,79410,7948467928,2014-07-13
300,475,Melby,Washington,DC,20073,7331360806,2017-05-23
301,147,Hazelcrest,Jefferson City,MO,65105,9455833423,2017-06-04
302,32,Sachs,North Hollywood,CA,91606,1409937237,2016-08-31
303,199,Buell,Austin,TX,78726,2780757770,2017-03-15
304,486,Continental,Richmond,VA,23293,6724529969,2015-07-13
305,454,Charing Cross,Spokane,WA,99205,1498073048,2014-01-02
306,383,Sycamore,El Paso,TX,88541,3579619597,2015-06-21
307,204,Morrow,Miami,FL,33283,2053442738,2014-06-12
308,212,Di Loreto,Sacramento,CA,94207,6209739156,2017-10-13
309,243,Shelley,Washington,DC,20535,1494588273,2016-02-21
310,274,Linden,Atlanta,GA,30328,8327947760,2014-01-03
311,263,Morningstar,New Brunswick,NJ,08922,4210220540,2016-10-27
312,322,Kenwood,Muskegon,MI,49444,9616701445,2018-09-18
313,88,Annamark,Peoria,IL,61651,9369165992,2018-04-29
314,135,Cascade,Akron,OH,44305,3761453369,2018-02-21
315,303,Toban,Huntington,WV,25709,2112451054,2014-02-14
316,246,Crescent Oaks,Richmond,VA,23208,6611697659,2018-05-19
317,34,La Follette,Port Washington,NY,11054,4613586819,2014-07-04
318,404,East,Bronx,NY,10474,8489403912,2014-03-11
319,341,Center,Chattanooga,TN,37450,8325239530,2014-05-20
320,466,Hintze,San Diego,CA,92170,6178612798,2015-04-15
321,252,Arapahoe,Port Saint Lucie,FL,34985,8449343814,2016-06-18
322,33,Golden Leaf,El Paso,TX,88535,2908331724,2016-10-16
323,245,Crownhardt,Allentown,PA,18105,5804855479,2015-05-26
324,434,Ramsey,Indianapolis,IN,46295,5027565318,2017-04-13
325,318,Harper,Nashville,TN,37205,8648704981,2018-04-28
326,357,Hansons,Hartford,CT,06140,7543418508,2016-11-17
327,62,Old Gate,Baton Rouge,LA,70894,1116435896,2014-08-08
328,376,Barnett,Chula Vista,CA,91913,7405132806,2015-11-01
329,481,Magdeline,Honolulu,HI,96825,9632372566,2015-05-31
330,328,Lillian,Sacramento,CA,94257,6244748575,2017-08-09
331,274,Charing Cross,Sioux Falls,SD,57188,6092241099,2017-02-14
332,482,Grim,Shreveport,LA,71166,6433516643,2017-09-14
333,90,Leroy,Houston,TX,77010,5735766682,2018-06-08
334,309,Dahle,Anchorage,AK,99512,8710889729,2017-05-01
335,342,2nd,Lexington,KY,40524,7485479950,2014-06-22
336,486,Elgar,Honolulu,HI,96820,1970742851,2015-06-24
337,83,Fieldstone,Dallas,TX,75205,7136233081,2016-10-17
338,402,Talmadge,Colorado Springs,CO,80935,4400594713,2017-04-21
339,169,Sunbrook,Dallas,TX,75372,2823252876,2014-06-16
340,167,Caliangt,Albuquerque,NM,87140,3803915487,2018-11-05
341,238,Hoepker,Charleston,WV,25331,1912825249,2014-06-13
342,277,Golden Leaf,Saint Joseph,MO,64504,3435561597,2014-10-18
343,488,Main,Tulsa,OK,74108,3805512391,2015-01-29
344,115,Spaight,Scottsdale,AZ,85255,3415929691,2014-03-30
345,64,Crescent Oaks,Saint Louis,MO,63131,1378982786,2018-06-26
346,327,Brown,Lafayette,IN,47905,6450723193,2017-05-09
347,45,Debra,Houston,TX,77245,3882259373,2017-09-03
348,38,6th,Washington,DC,20022,2993050336,2014-01-28
349,114,Daystar,Milwaukee,WI,53277,9272324739,2018-07-27
350,83,Prairie Rose,Cincinnati,OH,45228,5448751945,2015-01-03
351,49,Moose,Indianapolis,IN,46221,9138428244,2016-10-10
352,323,Lake View,Raleigh,NC,27621,8294248406,2016-08-07
353,230,Fuller,Lincoln,NE,68583,9732306358,2015-04-22
354,231,La Follette,Santa Barbara,CA,93111,8169256246,2015-02-09
355,139,Mosinee,Birmingham,AL,35210,1058708436,2016-04-15
356,172,Melvin,Cincinnati,OH,45999,6734945873,2015-03-10
357,419,Bowman,Sunnyvale,CA,94089,7808957881,2015-09-03
358,13,Ramsey,New York City,NY,10024,3274825654,2017-04-25
359,153,Carberry,Philadelphia,PA,19141,8893677884,2015-02-24
360,191,Buhler,Boca Raton,FL,33499,3499683749,2016-06-20
361,333,Brentwood,Monroe,LA,71213,4569175690,2014-11-10
362,28,Holmberg,Saint Petersburg,FL,33742,2343376055,2016-12-25
363,245,Becker,Corpus Christi,TX,78426,7698871208,2013-12-10
364,130,Main,Rochester,NY,14639,5967342193,2018-07-11
365,414,Red Cloud,Burbank,CA,91505,3491396281,2018-02-15
366,480,Hudson,Dayton,OH,45432,9496055788,2015-05-19
367,306,Lyons,Fort Pierce,FL,34949,9637880318,2017-10-19
368,453,Shasta,Savannah,GA,31416,8592357147,2018-04-28
369,156,Chive,Omaha,NE,68105,4547456623,2016-06-06
370,359,Springview,Colorado Springs,CO,80915,1374210652,2017-02-28
371,312,Sommers,Oceanside,CA,92056,2124676193,2018-02-17
372,372,Hanson,Huntsville,AL,35815,8116973796,2018-06-08
373,446,Bobwhite,San Antonio,TX,78245,2834170126,2018-09-26
374,149,Bayside,Tyler,TX,75705,9301594479,2014-01-07
375,62,Longview,White Plains,NY,10606,3171172118,2017-01-10
376,187,Declaration,Erie,PA,16550,8317357451,2018-05-01
377,118,Meadow Vale,Salt Lake City,UT,84105,3539597673,2014-06-09
378,151,Maywood,New Orleans,LA,70174,7061664427,2015-03-27
379,420,Pawling,Washington,DC,20005,2425307331,2014-06-27
380,102,Nevada,Spring,TX,77388,1154123434,2016-11-12
381,474,Cascade,Philadelphia,PA,19151,1600414730,2016-04-14
382,308,Kropf,New York City,NY,10165,7077709220,2014-10-04
383,253,Nevada,San Diego,CA,92176,4202953978,2017-02-02
384,128,Graceland,Washington,DC,20380,1423516502,2014-05-23
385,87,Lake View,Jefferson City,MO,65105,5380016621,2014-02-15
386,324,Pierstorff,San Francisco,CA,94169,9300955878,2013-12-07
387,188,Elmside,El Paso,TX,88525,8805750260,2017-02-12
388,234,Nelson,Columbia,MO,65211,3492168653,2018-01-08
389,92,Kennedy,Peoria,IL,61614,1207674251,2017-05-08
390,254,Namekagon,Saint Louis,MO,63143,3884377324,2017-12-16
391,489,Loftsgordon,Kansas City,MO,64190,7869133512,2017-10-17
392,326,Ruskin,Odessa,TX,79769,1067564552,2014-05-07
393,398,Ilene,Washington,DC,20078,3245241957,2018-04-12
394,327,Towne,New York City,NY,10039,6317889429,2015-12-28
395,119,Delaware,Seattle,WA,98175,6133884350,2015-03-11
396,347,Sunfield,Tampa,FL,33673,4213987880,2015-01-21
397,313,Continental,Baltimore,MD,21275,1123550037,2015-03-20
398,84,Hazelcrest,Meridian,MS,39305,6694015736,2015-03-27
399,84,Boyd,Boynton Beach,FL,33436,9752401101,2014-02-25
400,78,Fuller,Louisville,KY,40287,2619914819,2015-02-14
401,297,Meadow Valley,Jacksonville,FL,32209,5113745098,2018-11-10
402,36,Autumn Leaf,Houston,TX,77070,8766986644,2015-12-20
403,421,Graceland,Topeka,KS,66699,3831138639,2014-12-26
404,31,Shoshone,Worcester,MA,01654,8130871645,2017-02-22
405,3,Hollow Ridge,Indianapolis,IN,46247,1723568925,2018-02-01
406,386,Sage,New Orleans,LA,70129,4611381172,2017-03-23
407,317,Dixon,Albuquerque,NM,87121,1036054126,2014-10-13
408,204,Westerfield,Atlanta,GA,30323,5124151435,2015-02-23
409,54,Cascade,Indianapolis,IN,46278,1710829769,2016-05-09
410,271,Drewry,Erie,PA,16522,1474092042,2015-12-15
411,348,Rusk,Jacksonville,FL,32277,7036747003,2014-11-27
412,231,Lakewood,Lubbock,TX,79405,2603065831,2014-02-12
413,183,Dahle,Scottsdale,AZ,85255,4347391996,2017-01-16
414,130,Petterle,Phoenix,AZ,85025,3944524767,2014-12-07
415,98,Nelson,Augusta,GA,30911,9445305105,2018-08-31
416,371,Sage,Las Cruces,NM,88006,9390037732,2014-03-18
417,452,Kipling,Newport Beach,CA,92662,7214988319,2014-02-16
418,315,Crownhardt,Carol Stream,IL,60351,9641501004,2017-06-05
419,91,Waywood,Salt Lake City,UT,84110,7626668366,2017-12-14
420,203,Reinke,Richmond,VA,23260,5407290659,2014-07-07
