MemberID,AdultMemberID,BirthDate
600,259,2007-06-02
601,194,2005-06-28
602,427,2004-07-07
603,420,2002-05-25
604,231,2004-05-04
605,18,2015-05-16
606,44,2005-02-25
607,447,2017-10-17
608,269,2003-11-14
609,301,2014-07-20
610,243,2013-11-02
611,492,2009-09-13
612,318,2014-04-03
613,232,2007-12-25
614,304,2012-01-31
615,242,2015-01-07
616,1,2006-12-01
617,473,2009-05-24
618,474,2003-03-30
619,351,2013-09-26
620,159,2007-12-31
621,178,2004-05-23
622,265,2010-08-16
623,37,2002-11-29
624,231,2013-09-20
625,235,2015-11-30
626,56,2017-07-10
627,499,2008-03-12
628,54,2017-07-20
629,22,2002-07-25
630,463,2010-04-02
631,265,2013-09-13
632,475,2015-04-10
633,76,2004-01-11
634,422,2014-06-27
635,243,2002-06-27
636,445,2005-02-22
637,499,2017-06-10
638,194,2002-07-31
639,409,2011-01-30
640,201,2003-12-28
641,356,2008-11-01
642,328,2008-05-29
643,114,2004-05-31
644,378,2013-02-28
645,104,2005-09-01
646,305,2005-04-27
647,108,2004-04-24
648,323,2001-05-14
649,1,2004-05-16
650,461,2008-10-09
651,306,2010-11-08
652,235,2001-11-30
653,421,2005-03-16
654,77,2010-12-05
655,345,2002-04-20
656,126,2008-04-08
657,300,2009-05-30
658,496,2011-05-17
659,304,2005-07-19
660,89,2013-03-01
661,193,2008-09-12
662,377,2013-02-16
663,335,2003-05-27
664,34,2005-03-03
665,210,2016-01-29
666,350,2014-12-19
667,206,2004-07-24
668,147,2015-05-15
669,253,2006-11-09
670,79,2005-12-19
671,344,2001-06-29
672,268,2010-12-15
673,33,2010-05-04
674,114,2015-01-08
675,113,2015-10-03
676,97,2013-06-30
677,313,2013-10-22
678,444,2016-03-08
679,309,2017-10-29
680,164,2005-05-21
681,119,2010-07-12
682,120,2013-07-05
683,250,2001-08-28
684,312,2015-05-03
685,146,2011-01-23
686,358,2007-03-19
687,206,2015-07-24
688,261,2001-08-05
689,252,2012-10-17
690,86,2006-05-11
691,22,2004-01-26
692,32,2017-04-02
693,209,2004-01-02
694,169,2011-07-13
695,307,2006-11-23
696,191,2007-09-30
697,230,2008-01-23
698,431,2001-08-12
699,163,2008-12-27
700,203,2002-01-05
701,492,2014-03-07
702,194,2004-05-24
703,219,2015-09-12
704,445,2014-02-16
705,176,2003-02-08
706,496,2003-12-23
707,423,2003-10-18
708,477,2002-12-25
709,374,2012-08-03
710,390,2012-11-22
711,378,2012-11-17
712,231,2009-04-02
713,478,2001-09-27
714,105,2006-08-25
715,217,2004-01-10
716,184,2013-01-13
717,4,2011-07-02
718,486,2001-05-27
719,130,2017-04-28
720,67,2013-08-31
721,335,2015-10-07
722,166,2006-12-24
723,309,2004-02-07
724,462,2002-08-27
725,317,2011-07-17
726,168,2006-11-10
727,499,2014-02-09
728,461,2010-07-05
729,120,2011-10-01
730,422,2007-05-21
731,122,2016-05-21
732,202,2008-02-27
733,400,2005-03-29
734,274,2003-09-04
735,463,2014-07-02
736,349,2015-09-30
737,360,2012-03-17
738,106,2002-03-27
739,419,2010-09-24
740,28,2007-09-08
741,417,2005-05-19
742,182,2008-07-26
743,112,2010-11-06
744,421,2012-05-21
745,320,2004-07-07
746,34,2016-03-31
747,297,2007-04-27
748,347,2002-02-10
749,122,2010-01-26
750,334,2015-04-18
751,60,2017-02-20
752,338,2005-10-05
753,468,2014-10-09
754,228,2011-06-01
755,328,2015-07-25
756,317,2010-05-30
757,310,2005-04-15
758,311,2014-02-22
759,443,2016-11-23
760,247,2005-10-23
761,378,2011-11-10
762,86,2004-11-27
763,426,2016-07-30
764,495,2016-04-06
765,39,2008-04-19
766,261,2007-08-28
767,81,2004-12-16
768,395,2015-04-24
769,254,2004-08-07
770,102,2001-08-15
771,388,2004-06-24
772,72,2002-06-30
773,38,2009-07-15
774,102,2009-04-24
775,1,2008-11-03
776,31,2007-05-10
777,310,2015-09-02
778,477,2009-12-30
779,191,2005-01-23
780,427,2007-05-05
781,498,2016-02-20
782,491,2001-01-04
783,313,2003-10-23
784,448,2009-02-15
785,19,2006-12-17
786,273,2017-01-04
787,97,2006-04-17
788,349,2016-06-27
789,212,2007-07-27
790,233,2017-09-06
791,492,2009-12-27
792,324,2008-01-28
793,18,2016-07-26
794,268,2011-02-03
795,103,2009-08-19
796,434,2008-09-06
797,450,2011-02-02
798,201,2005-01-14
799,42,2010-07-10
800,237,2008-06-13
801,32,2004-03-07
802,88,2005-11-29
803,63,2009-08-11
804,347,2001-02-24
805,72,2015-11-23
806,58,2010-07-19
807,205,2012-12-08
808,351,2016-03-15
809,285,2013-09-05
810,400,2004-07-18
811,281,2010-07-10
812,418,2007-04-27
813,65,2005-05-19
814,306,2014-08-04
815,334,2002-12-24
816,433,2015-11-30
817,33,2011-01-19
818,259,2007-01-23
819,489,2009-06-03
820,408,2002-09-01
821,445,2014-02-13
822,269,2001-10-04
823,384,2004-01-02
824,329,2010-06-26
825,236,2001-01-07
826,126,2017-09-04
827,92,2010-05-03
828,13,2010-02-03
829,427,2004-06-21
830,171,2014-01-31
831,15,2003-11-09
832,152,2001-06-24
833,290,2014-09-15
834,70,2008-12-31
835,6,2003-07-12
836,124,2008-05-15
837,268,2003-09-13
838,58,2009-04-07
839,371,2001-05-21
840,91,2001-01-04
841,448,2008-05-15
842,367,2003-10-01
843,327,2016-07-31
844,395,2007-07-09
845,372,2006-01-26
846,228,2017-07-02
847,426,2016-09-15
848,226,2006-11-12
849,385,2013-08-10
850,47,2002-11-02
851,73,2008-01-16
852,183,2007-01-21
853,378,2005-08-06
854,305,2001-07-25
855,254,2010-09-19
856,333,2010-09-17
857,345,2009-10-28
858,48,2013-11-28
859,473,2001-05-28
860,30,2003-01-19
861,266,2010-11-14
862,364,2004-11-02
863,142,2013-11-25
864,27,2007-02-03
865,182,2010-11-16
866,331,2013-12-09
867,211,2004-05-04
868,59,2016-11-09
869,297,2009-05-10
870,301,2007-05-30
871,15,2017-11-09
872,247,2014-01-24
873,374,2002-03-21
874,104,2016-12-09
875,325,2001-07-21
876,381,2008-05-22
877,366,2008-06-04
878,76,2016-08-12
879,492,2005-12-30
880,424,2004-03-20
881,184,2002-02-06
882,94,2008-03-30
883,178,2005-12-17
884,194,2007-01-29
885,221,2010-10-19
886,336,2015-07-29
887,171,2015-08-16
888,239,2002-02-23
889,111,2012-05-19
890,115,2007-12-09
891,417,2012-03-23
892,222,2016-03-09
893,475,2016-07-26
894,461,2003-09-21
895,498,2003-11-27
896,83,2001-06-19
897,152,2015-06-26
898,177,2017-05-28
899,263,2003-11-01
900,165,2005-11-10
901,500,2012-07-20
902,446,2010-05-03
903,242,2001-01-07
904,265,2011-11-27
905,447,2001-07-22
906,60,2003-11-17
907,454,2010-12-11
908,361,2017-11-06
909,326,2001-01-17
910,214,2014-10-18
911,186,2017-07-07
912,198,2004-06-30
913,483,2009-11-01
914,157,2017-05-21
915,420,2003-04-18
916,141,2016-12-15
917,334,2010-03-14
918,75,2003-12-28
919,372,2004-10-21
920,43,2002-05-23
921,395,2003-11-17
922,414,2004-07-21
923,411,2005-01-31
924,102,2015-01-15
925,476,2016-02-09
926,83,2006-12-15
927,482,2005-03-07
928,200,2016-10-18
929,56,2007-11-22
930,448,2007-11-03
931,231,2006-10-18
932,197,2014-07-29
933,236,2015-11-25
934,83,2010-01-16
935,124,2015-11-24
936,12,2015-02-12
937,42,2012-11-07
938,280,2017-11-13
939,52,2010-06-12
940,51,2014-07-15
941,128,2001-09-09
942,427,2001-09-30
943,309,2017-08-15
944,407,2015-08-01
945,384,2001-08-28
946,434,2002-03-22
947,132,2001-09-29
948,491,2003-08-23
949,172,2012-05-15
950,160,2008-01-29
951,305,2002-12-07
952,181,2011-08-04
953,321,2011-10-21
954,252,2007-10-15
955,171,2004-01-31
956,292,2003-02-10
957,174,2017-04-17
958,46,2000-12-07
959,278,2008-10-09
960,496,2001-03-20
961,381,2009-12-29
962,158,2011-05-30
963,339,2006-04-02
964,217,2000-12-26
965,120,2010-11-02
966,158,2003-07-29
967,79,2006-12-14
968,353,2013-11-25
969,431,2014-01-23
970,229,2006-07-23
971,343,2011-02-17
972,429,2009-04-21
973,199,2001-03-24
974,17,2002-04-14
975,347,2010-08-01
976,182,2002-07-18
977,287,2012-07-17
978,55,2017-09-19
979,202,2012-05-12
980,163,2003-10-07
981,365,2016-07-11
982,418,2008-04-26
983,137,2007-01-22
984,154,2007-10-28
985,268,2013-08-31
986,57,2009-09-11
987,479,2015-05-07
988,29,2015-03-22
989,48,2015-09-17
990,370,2008-04-20
991,423,2011-03-12
992,2,2001-06-08
993,52,2001-01-09
994,290,2004-07-08
995,192,2004-03-27
996,71,2013-02-13
997,499,2012-02-14
998,259,2003-08-13
999,57,2004-05-15
1000,238,2013-03-10
